NOMENUM;LSTM RMSE;Prophet RMSE;LSTM R2;Prophet R2
Manaus;68052.32138084724;10250.394999019572;-68.67106237933558;-0.5595940907398502
Japurá;31.91622199828678;206.84457722852343;-15.472235174565864;-708.4237411667882
Figueirópolis D'Oeste;61.225765604000216;155.05843356457603;0.46319473439817227;-2.192573589540179
Alvarães;44.10165687436631;331.0527092496097;0.733323396863639;-13.89806226746444
Autazes;158.84069863511914;405.4740185398706;-5.745920727456316;-43.01290220373629
Codajás;36.303104748445094;26.791762141171834;0.6041155570451953;0.7884403085963756
Juruti;107.43605863477553;1149.7186592730034;0.839570240829444;-16.974453971202227
Itacoatiara;245.2795814592642;257.8241599331952;0.7355713516399978;0.718096807843373
Baião;13.301168455163259;106.58070204450563;0.6756254643997563;-19.611375647232165
Cametá;64.50548597313673;2489.0205945267653;0.9698425066700592;-40.47973169340956
Almeirim;30.09754198267901;167.97498190214475;0.9138231408814561;-1.4241441617330661
Coari;185.23407628362517;2226.969418065107;-0.5111821804501444;-220.0010267023335
Acarape;15.21607192052968;300.1537150758383;0.9730152304651581;-9.126402852902649
Parintins;11845.999064933256;1054.911368122489;-14836.168435749549;-147.18896680979344
Fortaleza;6477.549175146616;33947.369126916696;0.7178343139059034;-6.403762570245768
Belém;1271.2095579811337;3166.854425941748;0.9456463110693174;0.670849870514889
Canutama;34.05875370661338;74.2972225767657;0.12369069912582831;-3.175590111880167
Cristino Castro;17.407852817554502;197.04588307452892;-1216.4588286824237;-155888.1196261436
Aracoiaba;4375.687575006036;310.20817779586406;-219.1340660515733;-0.06728933149024452
Baturité;6.705748161400343;211.48022064012375;0.9990820596231751;0.09648759485982206
Graça;10.901379873415246;167.46098586800662;0.9801866279024495;-3.5636875497497016
Guaramiranga;50.46273127038884;299.44838474143853;0.8371307015961718;-4.505159776765592
Juazeiro do Norte;425.02102218523737;2214.7593887163403;0.9817736088724026;0.5275061189314371
Mulungu;11.488734363584534;54.96956152226236;0.9737050071316329;0.4259390269303176
Pacoti;19.01764674638935;75.07466654341425;-0.4579853445525126;-20.74630814945783
